CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
C001,Biblioteques,Bibliotecas,Libraries,425090.819,4585460.425,Biblioteca Collserola Josep Miracle,934069111,C Reis Catolics 16*34
C001,Biblioteques,Bibliotecas,Libraries,425519.076,4582989.468,Escola Institut Estudis Superiors d'Empresa,932534200,Av Pearson 21
C001,Biblioteques,Bibliotecas,Libraries,425777.437,4582335.478,Centre de Supercomputacio de Catalunya,932056464,Gran Capita 2x4
C001,Biblioteques,Bibliotecas,Libraries,425819.559,4582083.331,Facultat d'Economia i Empresa-Biblioteca Empresarials,934024483,Av Diagonal 696
C001,Biblioteques,Bibliotecas,Libraries,425960.068,4582013.187,Escola Tecnica Superior d'Arquitectura de Barcelona-Biblioteca,934017471,Av Diagonal 0649*0651
C001,Biblioteques,Bibliotecas,Libraries,425967.436,4581952.55,Facultat de Matematiques i Estadistica-Biblioteca,934017020,Pau Gargallo 5
C001,Biblioteques,Bibliotecas,Libraries,426065.252,4583046.738,Escola Superior d'Administracio i Direccio d'Empreses-Biblioteca,932806162,Av Pedralbes 60
C001,Biblioteques,Bibliotecas,Libraries,426095.211,4582152.714,Facultat d'Economia i Empresa-Biblioteca d'Economiques,934021966,Av Diagonal 690
C001,Biblioteques,Bibliotecas,Libraries,426095.588,4582376.394,Consell Superior d'Investigacions Cientifiques-Biblioteca,934006100,C Jordi Girona 18*26
C001,Biblioteques,Bibliotecas,Libraries,426099.45,4582228.838,Facultat d'Economia i Empresa-Biblioteca Campus Diagonal Nord,934021602,C Tinent Coronel Valenzuela 1*11
C001,Biblioteques,Bibliotecas,Libraries,426117.859,4582064.525,Facultat de Fisica-Biblioteca de Fisica i Quimica,934021322,Av Diagonal 647
C001,Biblioteques,Bibliotecas,Libraries,426215.546,4581727.069,Facultat de Belles Arts-Biblioteca,934034060,C Baldiri Reixac 2
C001,Biblioteques,Bibliotecas,Libraries,426268.47,4582116.12,Facultat de Biologia-Biblioteca,934021566,Av Diagonal 645
C001,Biblioteques,Bibliotecas,Libraries,426438.606,4581988.858,Facultat de Geologia-Biblioteca,934021420,C Marti i Franques 2
C001,Biblioteques,Bibliotecas,Libraries,426478.396,4583041.419,Esglesia dels Caputxins de Sarria-Biblioteca hispano caputxina,932043458,C Cardenal Vives i Tuto 2*16
C001,Biblioteques,Bibliotecas,Libraries,426491.27,4584158.766,Institut Quimic de Sarria - CETS-Biblioteca,932672005,Via Augusta 390
C001,Biblioteques,Bibliotecas,Libraries,426491.641,4581662.264,Facultat de Farmacia-Biblioteca,934021884,Av Joan XXIII 1
C001,Biblioteques,Bibliotecas,Libraries,426529.824,4581285.513,Fundacio Centre d'Iniciatives i Recerques Europees a la Mediterrania-Biblioteca,934401000,Trav Corts 39*43
C001,Biblioteques,Bibliotecas,Libraries,426609.433,4582319.31,Facultat de Dret-Biblioteca (Eurobiblioteca),934024448,Av Diagonal 684
C001,Biblioteques,Bibliotecas,Libraries,426661.441,4581274.251,Biblioteca Les Corts - Miquel Llongueras,934493107,Rier Blanca 1*3
C001,Biblioteques,Bibliotecas,Libraries,426832.446,4583531.017,Centre Excursionista Els Blaus-Biblioteca,932031228,C Cornet i Mas 15
C001,Biblioteques,Bibliotecas,Libraries,427033.77,4581658.164,Universitat Nacional d'Educacio a Distancia *Travessera de Les Corts-Biblioteca,933968059,Trav Corts 131*159
C001,Biblioteques,Bibliotecas,Libraries,427113.105,4584880.395,Universitat Abat Oliba CEU-Biblioteca,932540907,Bellesguard 30
C001,Biblioteques,Bibliotecas,Libraries,427323.959,4583722.273,Biblioteca Clara,932801547,C Doctor Carulla 22*24
C001,Biblioteques,Bibliotecas,Libraries,427739.652,4581163.084,Biblioteca Vapor Vell,934097231,Ptge Vapor Vell 1
C001,Biblioteques,Bibliotecas,Libraries,427740.281,4582466.619,Biblioteca Can Roses,934191929,C Deu i Mata 57
C001,Biblioteques,Bibliotecas,Libraries,427745.827,4580808.915,Unio Excursionista de Catalunya *Sants-Biblioteca,933325494,C Jocs Florals 51
C001,Biblioteques,Bibliotecas,Libraries,427851.968,4579483.233,Biblioteca Francesc Candel,933325375,C Amnistia Internacional 10
C001,Biblioteques,Bibliotecas,Libraries,427883.354,4584012.216,Escola Superior de Disseny i d'Art Llotja-Biblioteca,934181720,C Ciutat de Balaguer 17
C001,Biblioteques,Bibliotecas,Libraries,428081.962,4581643.477,Facultat de Biblioteconomia i Documentacio-Biblioteca,934035769,Melcior de Palau 140
C001,Biblioteques,Bibliotecas,Libraries,428115.304,4580886.158,Consell Alimentari de la Mediterrania-Biblioteca,932015333,C Guadiana 13
C001,Biblioteques,Bibliotecas,Libraries,428198.872,4585945.11,Biblioteca Vallcarca i els Penitents - Maria Antonieta Cot i Miralpeix,932112351,Pg Vall d'Hebron 65*69
C001,Biblioteques,Bibliotecas,Libraries,428320.723,4577762.088,area Metropolitana de Barcelona-Biblioteca,935069300,C Numero 62 Zona Franca 16*18
C001,Biblioteques,Bibliotecas,Libraries,428327.525,4583441.05,The British Council-Institut Britanic *Amigo-Biblioteca,932419700,C Amigo 83
C001,Biblioteques,Bibliotecas,Libraries,428421.464,4587002.718,Biblioteca Montbau - Albert Perez Baro,934270747,C angel Marques 4*6
C001,Biblioteques,Bibliotecas,Libraries,428523.135,4586831.291,Biblioteca Universitaria de Medicina i Infermeria de la Vall d'Hebron,934285012,Pg Vall d'Hebron 119*129
C001,Biblioteques,Bibliotecas,Libraries,428528.062,4583437.323,Esglesia Santuari de Sant Antoni de Padua-Biblioteca de la  provincia franciscana Catalunya,932092388,C Santalo 80
C001,Biblioteques,Bibliotecas,Libraries,428677.686,4583746.112,Institut d'Estudis Nord-americans-Biblioteca,932405110,Via Augusta 123
C001,Biblioteques,Bibliotecas,Libraries,428681.302,4583225.868,Fundacio Pere Tarres-Biblioteca,934152551,C Santalo 37
C001,Biblioteques,Bibliotecas,Libraries,428695.452,4583383.695,Centre d'Oftalmologia Barraquer-Biblioteca,936025306,C Muntaner 314
C001,Biblioteques,Bibliotecas,Libraries,428744.005,4579870.289,Institut Nacional d'Educacio Fisica de Catalunya *Barcelona-Biblioteca,934255445,Av Estadi 12*22
C001,Biblioteques,Bibliotecas,Libraries,428798.661,4588267.181,Institut Municipal Parcs i Jardins de Barcelona-Biblioteca,932565620,C Germans Desvalls 21
C001,Biblioteques,Bibliotecas,Libraries,428841.824,4587684.214,Biblioteca del Campus Mundet de la Universitat de Barcelona,934021035,Pg Vall d'Hebron 171
C001,Biblioteques,Bibliotecas,Libraries,428856.337,4580937.404,Biblioteca Artur Martorell,934023644,Pl Espanya 5
C001,Biblioteques,Bibliotecas,Libraries,428878.384,4583343.646,Comunitat Israelita de Barcelona-Biblioteca,932006148,C Avenir 24
C001,Biblioteques,Bibliotecas,Libraries,428880.355,4582376.478,Institut d'Estudis Fotografics Catalunya-Biblioteca,933212394,C Comte d'Urgell 187
C001,Biblioteques,Bibliotecas,Libraries,428901.735,4580348.797,Institut Rubio i Tuduri-Biblioteca,934243707,Av Av Francesc Ferrer Guardia 16
C001,Biblioteques,Bibliotecas,Libraries,428919.991,4584519.07,Institut de Musicologia Josep Ricart i Matas-Biblioteca,932371412,Av Republica Argentina 1
C001,Biblioteques,Bibliotecas,Libraries,428923.75,4587582.482,Centre Educatiu CETT-Biblioteca,934280777,Av Can Marcet 36*38
C001,Biblioteques,Bibliotecas,Libraries,428932.416,4581531.095,Escuela de Administracion de Empresas-Centro de Documentacion y Recursos - Biblioteca,932278090,C Arago 55
C001,Biblioteques,Bibliotecas,Libraries,428953.985,4581364.197,Biblioteca Joan Miro,934263532,C Vilamari 61
C001,Biblioteques,Bibliotecas,Libraries,428985.759,4583956.143,Club Excursionista de Gracia-Biblioteca,932378659,Ptge Mulet 4
C001,Biblioteques,Bibliotecas,Libraries,429029.244,4584543.677,Biblioteca Jaume Fuster,933684564,Pl Lesseps 20*22
C001,Biblioteques,Bibliotecas,Libraries,429128.136,4581568.474,Collegi Oficial de Psicolegs de Catalunya-Biblioteca,932478650,C Rocafort 129
C001,Biblioteques,Bibliotecas,Libraries,429173.737,4580991.556,Organizacion Nacional de Ciegos de Espana-Biblioteca,933259200,C Sepulveda 1
C001,Biblioteques,Bibliotecas,Libraries,429184.832,4583186.73,Institut Francais de Barcelone-Biblioteca,935677777,C Moia 8
C001,Biblioteques,Bibliotecas,Libraries,429196.976,4582255.292,Centre Cultural Teresa Pamies-Biblioteca Esquerra de l'Eixample-Agusti Centelles,934539881,C Comte d'Urgell 145
C001,Biblioteques,Bibliotecas,Libraries,429197.346,4587135.098,Biblioteca del Pavello de la Republica,934285457,C Jorge Manrique 9
C001,Biblioteques,Bibliotecas,Libraries,429208.602,4582040.384,Fundacio Catalana de Sindrome de Down-Biblioteca,932157423,C Comte Borrell 201*203
C001,Biblioteques,Bibliotecas,Libraries,429211.968,4582550.491,Facultat de Medicina-Biblioteca,934035721,C Casanova 143
C001,Biblioteques,Bibliotecas,Libraries,429288.772,4580254.716,Museu Nacional d'Art de Catalunya-Biblioteca,936220360,C Mirador Palau Nacional 6*8
C001,Biblioteques,Bibliotecas,Libraries,429321.57,4581784.56,Centre Excursionista l'aliga de Barcelona-Biblioteca,934544056,C Viladomat 152
C001,Biblioteques,Bibliotecas,Libraries,429408.753,4581998.199,Agrupacio Astronomica de Barcelona-Biblioteca,934514488,C Arago 141*143
C001,Biblioteques,Bibliotecas,Libraries,429413.27,4582751.017,Cercle Filatelic i Numismatic de Barcelona-Biblioteca,934195404,C Rossello 183
C001,Biblioteques,Bibliotecas,Libraries,429506.145,4586053.975,Biblioteca El Carmel - Juan Marse,934072870,C Murtra 135*145
C001,Biblioteques,Bibliotecas,Libraries,429512.16,4582898.222,Centre Espanol de Plasticos-Biblioteca,932189412,C Enric Granados 99*101
C001,Biblioteques,Bibliotecas,Libraries,429513.58,4581883.828,Centre Estudis de Planificacio-Biblioteca,933231787,C Consell de Cent 180
C001,Biblioteques,Bibliotecas,Libraries,429554.776,4581580.47,Centre Civic Casa Golferichs-Biblioteca de l'Espai de Fotografia,933237790,G.V. Corts Catalanes 491
C001,Biblioteques,Bibliotecas,Libraries,429581.925,4584232.186,Espeleo Club Gracia-Biblioteca,934150460,C Asturies 83
C001,Biblioteques,Bibliotecas,Libraries,429581.925,4584232.186,Fundacio Orfeo Gracienc-Biblioteca,932374681,Asturies 83
C001,Biblioteques,Bibliotecas,Libraries,429630.935,4580450.608,Institut del Teatre-Biblioteca,932273900,Pl Margarida Xirgu 1
C001,Biblioteques,Bibliotecas,Libraries,429648.357,4580395.586,Museu d'Arqueologia de Catalunya-Biblioteca,934232149,Pg Santa Madrona 39*41
C001,Biblioteques,Bibliotecas,Libraries,429656.104,4579480.639,Museu de Ciencies Naturals de Barcelona - Institut Botanic de Barcelona-Biblioteca,932890611,Pg Migdia 187
C001,Biblioteques,Bibliotecas,Libraries,429685.234,4583301.919,Cambra Oficial de Comerc. Industria i Navegacio de Barcelona-Biblioteca,902448448,Av Diagonal 452
C001,Biblioteques,Bibliotecas,Libraries,429694.957,4582653.312,Amics de la UNESCO de Barcelona-Biblioteca,934539507,C Mallorca 207
C001,Biblioteques,Bibliotecas,Libraries,429697.829,4584923.779,Escola Universitaria d'Infermeria Santa Madrona-Biblioteca,932544215,Escorial 0177
C001,Biblioteques,Bibliotecas,Libraries,429729.583,4583871.464,Biblioteca Vila de Gracia,932847790,C Torrent de l'Olla 104
C001,Biblioteques,Bibliotecas,Libraries,429769.95,4582314.738,Escola alta direccio administracio-Biblioteca,934520844,Arago 204
C001,Biblioteques,Bibliotecas,Libraries,429854.167,4580183.393,Fundacio Joan Miro-Biblioteca - Centre de Documentacio,934439492,Av Miramar 1
C001,Biblioteques,Bibliotecas,Libraries,429854.305,4583250.702,Biblioteca de Comerc i Turisme,934849816,Pg Gracia 105
C001,Biblioteques,Bibliotecas,Libraries,429875.644,4582865.483,Centre Passatge- Fundacio Privada Viarany-Biblioteca,932151599,Ptge Mercader 0013
C001,Biblioteques,Bibliotecas,Libraries,429879.464,4581079.87,Institut Alemany de Barcelona - Institut Goethe-Biblioteca,932926006,Manso 26*28
C001,Biblioteques,Bibliotecas,Libraries,429972.074,4587159.848,Biblioteca Horta - Can Mariner,934208285,C Vent 1
C001,Biblioteques,Bibliotecas,Libraries,429984.319,4583344.659,Casa asia-Mediateca i Fonoteca Daniel Danielou,932387337,Av Diagonal 373
C001,Biblioteques,Bibliotecas,Libraries,430022.348,4581966.344,Unio Excursionista de Catalunya de Barcelona-Biblioteca,934545855,G.V. Corts Catalanes 576
C001,Biblioteques,Bibliotecas,Libraries,430070.863,4583424.395,Esglesia dels Pares Carmelites Descalcos-Biblioteca,934160808,Av Diagonal 424
C001,Biblioteques,Bibliotecas,Libraries,430085.3,4581194.193,Biblioteca Sant Antoni - Joan Oliver,933297216,C Comte Borrell 44*46
C001,Biblioteques,Bibliotecas,Libraries,430151.344,4582351.406,Seminari Conciliar de Barcelona-Biblioteca Publica Episcopal del Seminari de Barcelona,934541607,C Diputacio 231
C001,Biblioteques,Bibliotecas,Libraries,430181.784,4582892.004,Fundacio Europea del Terapeuta - Heilpraktiker Institut-Biblioteca,932155060,Pg Gracia 59
C001,Biblioteques,Bibliotecas,Libraries,430182.354,4582762.912,Fundacio Antoni Tapies-Biblioteca,934870315,C Arago 255
C001,Biblioteques,Bibliotecas,Libraries,430185.865,4580808.737,Biblioteca Poble-sec - Francesc Boix,934430105,C Blai 34
C001,Biblioteques,Bibliotecas,Libraries,430185.941,4581446.176,Escola de Musica Taller de Musics-Biblioteca,934410149,C Requesens 5
C001,Biblioteques,Bibliotecas,Libraries,430198.352,4582210.225,Biblioteca de Lletres de la Universitat de Barcelona,934035317,G.V. Corts Catalanes 585
C001,Biblioteques,Bibliotecas,Libraries,430198.352,4582210.225,Facultat de Matematiques-Biblioteca,934021662,G.V. Corts Catalanes 585
C001,Biblioteques,Bibliotecas,Libraries,430220.048,4583732.607,Escola Universitaria de Relacions Laborals-Biblioteca,934039317,C Corsega 409
C001,Biblioteques,Bibliotecas,Libraries,430244.877,4584731.224,Unio Excursionista de Catalunya - Gracia-Biblioteca,932853454,C Encarnacio 131*133
C001,Biblioteques,Bibliotecas,Libraries,430266.429,4582995.714,Fundacio Arqueologica Clos-Biblioteca,934880188,C Valencia 284
C001,Biblioteques,Bibliotecas,Libraries,430269.811,4583217.881,Illustre Collegi d'Advocats de Barcelona-Biblioteca,934961880,C Mallorca 283
C001,Biblioteques,Bibliotecas,Libraries,430285.515,4588563.34,Biblioteca Canyelles,932749474,Rda Guineueta Vella 34
C001,Biblioteques,Bibliotecas,Libraries,430294.123,4582768.549,Institut Amatller d'Art Hispanic-Biblioteca,932160175,Pg Gracia 41
C001,Biblioteques,Bibliotecas,Libraries,430337.164,4585291.89,Biblioteca Guinardo - Merce Rodoreda,934353170,C Camelies 76*80
C001,Biblioteques,Bibliotecas,Libraries,430363.363,4583204.647,Associacio Aquariofila Barcelona-BIBLIOTECA AQUARIOFILA - PATRONS DE IOT,932080735,C Roger de Lluria 92*94
C001,Biblioteques,Bibliotecas,Libraries,430373.068,4582949.862,Fundacio Roca Gales-Biblioteca Ventosa i Roig,932154870,C Arago 281
C001,Biblioteques,Bibliotecas,Libraries,430465.102,4582581.732,Societat Rectora Borsa de Barcelona-Biblioteca,934013555,Pg Gracia 19
C001,Biblioteques,Bibliotecas,Libraries,430471.634,4581925.006,Biblioteca de Filosofia i Geografia i Historia de la Universitat de Barcelona,934037719,C Montalegre 6
C001,Biblioteques,Bibliotecas,Libraries,430493.017,4582962.431,Institut Italia de Cultura de Barcelona-Biblioteca,934875306,Ptge Mendez Vigo 5
C001,Biblioteques,Bibliotecas,Libraries,430513.948,4581829.723,Museu d'Art Contemporani de Barcelona-Biblioteca,934813366,Pl angels 1
C001,Biblioteques,Bibliotecas,Libraries,430534.445,4582361.099,Biblioteca centre didactic ciencies experimentals,933170428,Rbla Catalunya 8
C001,Biblioteques,Bibliotecas,Libraries,430534.445,4582361.099,Collegi Oficial de Doctors i Llicenciats en Filosofia i Lletres i en Ciencies de Catalunya-Centre didactic ciencies experimentals,933170428,Rbla Catalunya 8
C001,Biblioteques,Bibliotecas,Libraries,430543.279,4583242.062,Conservatori Municipal de Musica de Barcelona-Biblioteca,934584302,C Bruc 110*112
C001,Biblioteques,Bibliotecas,Libraries,430546.451,4582349.24,Centre de Suport de la Universitat Oberta de Catalunya del Barcelones-Biblioteca,934817284,Rbla Catalunya 6
C001,Biblioteques,Bibliotecas,Libraries,430557.123,4581941.05,Fundacio Centre d'Estudis i Documentacio Internacionals de Barcelona-Biblioteca,933026495,C Elisabets 12
C001,Biblioteques,Bibliotecas,Libraries,430599.17,4581577.112,Institucio Mila i Fontanals-Biblioteca,934423489,C Egipciaques 15
C001,Biblioteques,Bibliotecas,Libraries,430606.375,4581645.271,Reial Academia de Medicina de Catalunya-Biblioteca,934120598,Carme 0047
C001,Biblioteques,Bibliotecas,Libraries,430622.083,4581820.238,Illustre Collegi de Notaris de Catalunya-Biblioteca,933174800,C Notariat 4
C001,Biblioteques,Bibliotecas,Libraries,430649.226,4583556.616,Escola Lacaniana de Psicoanalisi-Biblioteca Campo Freudiano,932075619,Av Diagonal 0333
C001,Biblioteques,Bibliotecas,Libraries,430675.857,4581596.274,Biblioteca Nacional de Catalunya,932702300,C Hospital 56
C001,Biblioteques,Bibliotecas,Libraries,430675.857,4581596.274,Biblioteca Nacional de Catalunya-Fons Bibliografic Bergnes de las Casas,932702300,Hospital 56
C001,Biblioteques,Bibliotecas,Libraries,430675.857,4581596.274,Centre Municipal d'Art i Disseny Escola Massana-Biblioteca,934422000,Hospital 56
C001,Biblioteques,Bibliotecas,Libraries,430675.857,4581596.274,Reial Academia de Farmacia de Catalunya-Biblioteca,934430088,C Hospital 56
C001,Biblioteques,Bibliotecas,Libraries,430675.869,4581596.274,Biblioteca Sant Pau-Santa Creu,933020797,C Hospital 56
C001,Biblioteques,Bibliotecas,Libraries,430714.33,4582715.511,Associacio Numismatica Espanyola-Biblioteca,933188245,G.V. Corts Catalanes 0627
C001,Biblioteques,Bibliotecas,Libraries,430756.85,4581938.259,Reial Academia  de Ciencies i Art  de Barcelona-Biblioteca,933043128,la Rambla 0115
C001,Biblioteques,Bibliotecas,Libraries,430760.661,4581752.661,Escola de Musica Juan Pedro Carrero-Biblioteca,933010718,Carme 15*17
C001,Biblioteques,Bibliotecas,Libraries,430774.887,4581322.735,Filmoteca de Catalunya-Biblioteca de Cinema,935671070,Pl Salvador Segui 1*9
C001,Biblioteques,Bibliotecas,Libraries,430833.347,4583106.639,Biblioteca Sofia Barat,932317767,C Girona 64*68 LI
C001,Biblioteques,Bibliotecas,Libraries,430833.347,4583106.639,Collegi Oficial de Farmaceutics de Barcelona-Biblioteca,932440717,Girona 64*66
C001,Biblioteques,Bibliotecas,Libraries,430850.46,4581392.487,Restaurant Biblioteca-Biblioteca,934126221,C Junta de Comerc 28
C001,Biblioteques,Bibliotecas,Libraries,430853.667,4587785.138,Biblioteca Nou Barris,932914850,Pl Major de Nou Barris 2
C001,Biblioteques,Bibliotecas,Libraries,430858.135,4582666.735,Fundacio Intermon-Oxfam-Centre de recursos Intermon,933012936,Roger de Lluria 0015
C001,Biblioteques,Bibliotecas,Libraries,430876.854,4585640.796,Centre de Cultura Popular Montserrat-Biblioteca,607165011,C Telegraf 67*71
C001,Biblioteques,Bibliotecas,Libraries,430961.167,4582884.732,Amics dels Jardins-Biblioteca,933185531,G.V. Corts Catalanes 682
C001,Biblioteques,Bibliotecas,Libraries,430982.575,4581153.007,Escola Oficial d'Idiomes Barcelona - Drassanes-Biblioteca,933292458,Arc del Teatre 0024
C001,Biblioteques,Bibliotecas,Libraries,431008.197,4582354.415,Institut d'Estadistica de Catalunya-Biblioteca,934120088,Via Laietana 58
C001,Biblioteques,Bibliotecas,Libraries,431018.836,4580556.28,Museu Nacional d'Art de Catalunya-Gabinet Numismatic de Catalunya,936220360,Pg Montjuic 1
C001,Biblioteques,Bibliotecas,Libraries,431032.201,4582330.028,Biblioteca Judicial de Barcelona - TSJC Sala Contenciosa Administrativa,933440018,Via Laietana 56
C001,Biblioteques,Bibliotecas,Libraries,431045.841,4582285.156,Associacio per a les Nacions Unides a Espanya-Biblioteca,933013990,Via Laietana 51
C001,Biblioteques,Bibliotecas,Libraries,431055.256,4581751.583,Institut Agricola Catala Sant Isidre-Biblioteca,933011636,Pl Sant Josep Oriol 4
C001,Biblioteques,Bibliotecas,Libraries,431072.618,4581978.753,Reial Cercle Artistic - Institut Barcelones d'Art-Biblioteca,933014676,C Arcs 5
C001,Biblioteques,Bibliotecas,Libraries,431077.007,4582100.49,Fundacio Balmesiana-Biblioteca,933177284,C Duran i Bas 9
C001,Biblioteques,Bibliotecas,Libraries,431077.895,4581360.386,Centro  Galego de Barcelona-Biblioteca Otero Pedrayo,933012892,C la Rambla 35*37
C001,Biblioteques,Bibliotecas,Libraries,431080.391,4586113.492,Bib. Laboratoris Dr. Esteve,934466000,Av Mare Deu de Montserrat 221
C001,Biblioteques,Bibliotecas,Libraries,431090.246,4581965.577,Collegi d'Arquitectes de Catalunya-Biblioteca,933067805,C Arcs 1*3
